Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Tennis duration (ms),Weight lifting duration (ms),Other duration (ms)
2020-06-16,,652.2113827885997,,,,78.35,78.35,78.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,,1629.4986572265625,,,,61.22,61.22,61.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,10,1657.1015574881867,750.9278976917267,5.0,5,62.54,62.54,62.54,,,,,,,,,,,,,,0.5169158213590447,1.4052882194519043,0.24835188686847687,1237,75.74986267089844,75.74986267089844,75.74986267089844,,33479489,451779,,,,,
2020-06-19,28,1706.805303697427,1593.8378412723541,9.0,9,67.07,67.07,67.07,,,,,,,,,,,,,,0.42327051673968435,1.4108446836471558,0.26982468366622925,2536,,,,,84434231,1265285,,,,,
2020-06-20,84,1924.7047790304364,5798.364104151726,43.0,36,63.69,63.69,63.69,,,,,,,,,,,,,,0.6853714218340577,2.873964786529541,0.24527508020401,8179,,,,,79934834,3665659,348548,,,,
2020-06-21,6,1634.511152409299,232.5616135597229,,,69.61,69.61,69.61,,,,,,,,,,,,,,0.3589700603552869,0.6075145602226257,0.242644801735878,490,,,,,85322727,82041,,,,,
2020-06-22,13,1659.4244280169846,780.8365321159363,6.0,6,68.64,68.64,68.64,,,,,,,,,,,,,,0.5531408839198819,1.464853048324585,0.30370229482650757,1198,,,,,85690492,489800,,,,,
2020-06-23,1,1629.4985959102419,79.74049425125122,,,,,,,,,,,,,,,,,,,0.4374159008561722,0.8084468245506287,0.3048866391181946,310,,,,,86106647,,,,,,
2020-06-24,11,1691.4452149103377,1050.9594266414642,11.0,7,65.31,65.31,65.31,,,,,,,,,,,,,,0.5502030430401823,2.8963348865509033,0.32871437072753906,1323,,,,,85894707,296128,209165,,,,
2020-06-25,40,1747.482676755166,3045.2977237701416,29.0,24,58.64,58.64,58.64,,,,,,,,,,,,,,0.5415242302487527,2.373443126678467,0.25133949518203735,4237,,,,,84225055,1921465,,,,,
2020-06-26,16,1683.281563682058,904.7801883220673,7.0,7,67.25,67.25,67.25,,,,,,,,,,,,,,0.533402858223883,1.3922699689865112,0.32871437072753906,1401,,,,,84991097,880270,,,,,
2020-06-27,53,1828.6447446999869,3660.748603105545,28.0,23,71.44,71.44,71.44,,,,,,,,,,,,,,0.6665653353640201,2.876941680908203,0.28676676750183105,5123,,,,,82800375,2148932,338758,,,,
2020-06-28,41,1759.9648831783427,2223.061291694641,14.0,11,69.88,69.88,69.88,,,,,,,,,,,,,,0.7653550848779859,2.3364694118499756,0.2593179941177368,3279,,,,,82296856,2112893,,,,,
2020-06-29,60,1830.4427424086273,4272.2310490608215,40.0,35,62.81,62.81,62.81,,,,,,,,,,,,,,0.5576697640518108,2.810054063796997,0.26773801445961,5834,,,,,83350119,2749250,215126,,,,
2020-06-30,47,1808.1390913745508,3525.059407711029,34.0,28,65.07,65.07,65.07,,,,,,,,,,,,,,0.607312098104837,2.8850743770599365,0.2508504092693329,4609,,,,,83054788,1691343,436785,,,,
2020-07-01,32,1752.3474975349204,2592.1810417175293,23.0,18,64.26,64.26,64.26,,,,,,,,,,,,,,0.7191943727457785,2.8881423473358154,0.248749241232872,3433,,,,,84261455,891760,328420,,,,
2020-07-02,21,1688.0367635026864,1425.3732107877731,10.0,10,65.55,65.55,65.55,,,,,,,,,,,,,,0.8519808407025962,1.5468891859054565,0.3038889765739441,2200,,,,,84495036,958100,,,,,
2020-07-03,63,1817.3216740435228,4397.152878642082,37.0,32,65.49,65.49,65.49,,,,,,,,,,,,,,0.605353061888918,2.3917016983032227,0.2509908676147461,6450,,,,,77767294,3071392,,,,,
2020-07-04,14,1728.8383429382536,1468.1989073753357,17.0,11,64.44,64.44,64.44,,,,,,,,,,,,,,0.5531151215008916,2.7355809211730957,0.27392861247062683,1830,,,,,85599820,376372,423808,,,,
2020-07-05,21,1737.7232242964405,1858.184103012085,20.0,12,99.44,99.44,99.44,,,,,,,,,,,,,,0.49328097195647275,2.8049514293670654,0.2629714906215668,2406,,,,,85154503,527479,408106,,,,
