,cycle_id,user_id_x,created_ts_x,updated_ts_x,cycle_start_ts,cycle_end_ts,timezone_offset,score_state_x,score_strain,score_kilojoule,score_avg_heart_rate,score_max_heart_rate,cycle_length_timedelta,cycle_length_hours,sleep_id,user_id_y,created_ts_y,updated_ts_y,score_state_y,user_calibrating,recovery_score,resting_heart_rate,hrv_rmssd_milli,spo2_percentage,skin_temp_celsius,total_strain,num_workouts,total_in_bed_time_hrs,avg_sleep_performance,total_light_sleep_time_hrs,total_rem_sleep_time_hrs,total_slow_wave_sleep_time_hrs,avg_respiratory_rate
0,693966874,12843267,2024-10-20 08:55:40.348000+00:00,2024-10-20 08:55:40.348000+00:00,2024-10-19 22:47:59.199000+00:00,,+01:00,SCORED,6.468828,4580.71,62,152,,,1290302190.0,12843267.0,2024-10-20 08:55:40.348000+00:00,2024-10-20 08:55:46.161000+00:00,SCORED,False,76.0,54.0,72.432045,96.5,32.5,,,,,,,,
1,693062940,12843267,2024-10-19 07:39:18.805000+00:00,2024-10-20 08:55:45.544000+00:00,2024-10-18 22:55:09.699000+00:00,2024-10-19 22:47:59.199000+00:00,+01:00,SCORED,9.900225,8723.625,70,149,0 days 23:52:49.500000,23.880416666666665,1288562564.0,12843267.0,2024-10-19 07:39:18.805000+00:00,2024-10-19 07:39:24.103000+00:00,SCORED,False,49.0,57.0,58.32629,98.25,33.2,10.0259,2.0,861.9977777777777,100.0,471.0535,163.42797222222222,134.58680555555554,14.267578
2,692282656,12843267,2024-10-18 08:32:18.106000+00:00,2024-10-19 09:58:21.610000+00:00,2024-10-17 21:56:27.834000+00:00,2024-10-18 22:55:09.699000+00:00,+01:00,SCORED,4.8474092,7729.7603,64,116,1 days 00:58:41.865000,24.978295833333334,1287027662.0,12843267.0,2024-10-18 08:32:18.106000+00:00,2024-10-18 08:32:23.579000+00:00,SCORED,False,60.0,55.0,64.57597,96.56,33.503334,4.0539,1.0,1026.99825,100.0,402.1296111111111,296.41125,237.12844444444445,13.886719
3,691405397,12843267,2024-10-17 07:53:00.339000+00:00,2024-10-19 09:58:21.500000+00:00,2024-10-16 22:30:28.482000+00:00,2024-10-17 21:56:27.834000+00:00,+01:00,SCORED,7.1860123,7707.2637,68,139,0 days 23:25:59.352000,23.433153333333333,1285327940.0,12843267.0,2024-10-17 07:53:00.339000+00:00,2024-10-17 07:53:05.291000+00:00,SCORED,False,58.0,55.0,65.221664,96.73684,33.416668,12.576,3.0,722.5766666666667,83.0,285.9975,206.66213888888888,146.60344444444445,14.003906
4,690572677,12843267,2024-10-16 08:34:21.139000+00:00,2024-10-17 07:53:20.722000+00:00,2024-10-15 22:59:44.574000+00:00,2024-10-16 22:30:28.482000+00:00,+01:00,SCORED,7.816205,7915.8887,69,151,0 days 23:30:43.908000,23.512196666666668,1283664069.0,12843267.0,2024-10-16 08:34:21.139000+00:00,2024-10-16 08:34:26.152000+00:00,SCORED,False,77.0,55.0,76.35329,95.75,32.796665,5.0996,2.0,943.6779722222223,100.0,519.0902222222222,169.8366388888889,165.82919444444445,14.238281
5,689732364,12843267,2024-10-15 09:04:05.536000+00:00,2024-10-16 08:34:26.243000+00:00,2024-10-14 22:15:00.679000+00:00,2024-10-15 22:59:44.574000+00:00,+01:00,SCORED,11.934428,9669.817,66,159,1 days 00:44:43.895000,24.745526388888887,1281965931.0,12843267.0,2024-10-15 09:04:05.536000+00:00,2024-10-15 09:04:10.546000+00:00,SCORED,False,80.0,52.0,76.73943,94.0,32.606667,14.501000000000001,2.0,1050.2494444444444,100.0,459.03327777777776,290.0018333333333,205.08525,13.7109375
6,688822602,12843267,2024-10-14 07:51:27.842000+00:00,2024-10-15 09:04:10.652000+00:00,2024-10-13 22:28:30.188000+00:00,2024-10-14 22:15:00.679000+00:00,+01:00,SCORED,12.1692505,9685.284,69,152,0 days 23:46:30.491000,23.77513638888889,1280168941.0,12843267.0,2024-10-14 07:51:27.842000+00:00,2024-10-14 07:51:33.522000+00:00,SCORED,False,73.0,53.0,73.8326,95.5,32.45,,,926.8373611111111,95.0,520.6828611111112,181.04730555555557,158.61719444444444,14.1796875
7,687976575,12843267,2024-10-13 08:53:02.705000+00:00,2024-10-14 07:51:32.913000+00:00,2024-10-13 01:54:41.555000+00:00,2024-10-13 22:28:30.188000+00:00,+01:00,SCORED,12.859619,8725.3955,77,168,0 days 20:33:48.633000,20.563509166666666,1278579814.0,12843267.0,2024-10-13 08:53:02.705000+00:00,2024-10-13 08:53:07.464000+00:00,SCORED,False,5.0,73.0,26.96135,94.3,32.986668,9.1599,1.0,683.3035,75.0,364.46908333333334,80.1091111111111,178.64413888888888,15.527344
8,687108447,12843267,2024-10-12 08:18:20.829000+00:00,2024-10-13 09:40:06.532000+00:00,2024-10-11 23:07:52.886000+00:00,2024-10-13 01:54:41.555000+00:00,+01:00,SCORED,14.087754,11620.511,73,174,1 days 02:46:48.669000,26.780185833333334,1276890163.0,12843267.0,2024-10-12 08:18:20.829000+00:00,2024-10-12 08:18:25.729000+00:00,SCORED,False,81.0,54.0,80.07049,95.14286,32.15333,15.0657,3.0,897.9960277777777,97.0,489.4388055555556,194.6661388888889,157.01469444444444,14.501953
9,686107876,12843267,2024-10-11 05:22:11.833000+00:00,2024-10-12 08:18:25.980000+00:00,2024-10-10 21:43:45.040000+00:00,2024-10-11 23:07:52.886000+00:00,+01:00,SCORED,11.37407,9842.697,68,153,1 days 01:24:07.846000,25.402179444444446,1275044467.0,12843267.0,2024-10-11 05:22:11.833000+00:00,2024-10-11 05:22:16.861000+00:00,SCORED,False,86.0,51.0,81.50928,91.25,32.106895,4.5744,1.0,749.7957777777777,81.0,350.85266666666666,229.11283333333333,130.57869444444444,13.828125
